Time,Temp,CloneID,Plate,Col,Rep,Active,propActive
360,40,2.5,A,2,3,0,0
360,40,1.2,A,3,1,3,0.6
360,40,1.2,A,3,2,10,1
360,40,1.2,A,3,3,6,0.75
360,40,2.3,A,4,1,0,0
360,40,2.3,A,4,2,0,0
360,40,2.3,A,4,3,0,0
360,40,2.5,A,5,4,0,0
360,40,2.5,A,5,5,0,0
360,40,2.5,A,5,6,1,0.05
360,40,1.7,A,6,1,1,0.066666667
360,40,1.7,A,6,2,1,0.083333333
360,40,1.7,A,6,3,1,0.0625
360,40,2.3,B,1,4,1,0.071428571
360,40,2.3,B,1,5,0,0
360,40,2.3,B,1,6,0,0
360,40,1.5,B,2,1,14,0.56
360,40,1.5,B,2,2,11,1
360,40,1.5,B,2,3,9,0.9
360,40,1.2,B,3,4,6,0.666666667
360,40,1.2,B,3,5,5,0.833333333
360,40,1.2,B,3,6,9,1
360,40,2.5,B,4,7,1,0.052631579
360,40,2.5,B,4,8,0,0
360,40,2.5,B,4,9,0,0
360,40,1.7,B,5,4,4,0.4
360,40,1.7,B,5,5,2,0.166666667
360,40,1.7,B,5,6,2,0.181818182
360,40,1.5,B,6,4,8,0.615384615
360,40,1.5,B,6,5,3,0.375
360,40,1.5,B,6,6,0,0
360,40,1.7,C,1,7,1,0.066666667
360,40,1.7,C,1,8,0,0
360,40,1.7,C,1,9,1,0.1
360,40,1.2,C,2,7,6,0.545454545
360,40,1.2,C,2,8,7,0.777777778
360,40,1.2,C,2,9,7,0.777777778
360,40,2.4,C,3,4,1,0.034482759
360,40,2.4,C,3,5,1,0.027027027
360,40,2.4,C,3,6,2,0.066666667
360,40,1.5,C,4,7,5,0.714285714
360,40,1.5,C,4,8,11,0.6875
360,40,1.5,C,4,9,11,0.733333333
360,40,1.7,C,5,10,0,0
360,40,1.7,C,5,11,0,0
360,40,1.7,C,5,12,2,0.1
360,40,2.3,C,6,7,0,0
360,40,2.3,C,6,8,0,0
360,40,2.3,C,6,9,1,0.071428571
360,40,2.3,D,1,10,1,0.043478261
360,40,2.3,D,1,11,0,0
360,40,2.3,D,1,12,1,0.083333333
360,40,1.5,D,2,10,4,0.444444444
360,40,1.5,D,2,11,9,0.5625
360,40,1.5,D,2,12,3,0.428571429
360,40,2.4,D,3,7,1,0.03125
360,40,2.4,D,3,8,4,0.111111111
360,40,2.4,D,3,9,1,0.035714286
360,40,2.5,D,4,10,0,0
360,40,2.5,D,4,11,0,0
360,40,2.5,D,4,12,1,0.043478261
360,40,1.2,D,5,10,8,0.4
360,40,1.2,D,5,11,7,0.636363636
360,40,1.2,D,5,12,8,0.727272727
360,40,2.4,D,6,10,4,0.133333333
360,40,2.4,D,6,11,4,0.142857143
360,40,2.4,D,6,12,5,0.217391304
420,42.5,2.4,A,1,1,0,0
420,42.5,2.4,A,1,2,0,0
420,42.5,2.4,A,1,3,0,0
420,42.5,2.5,A,2,1,0,0
420,42.5,2.5,A,2,2,0,0
420,42.5,2.5,A,2,3,0,0
420,42.5,1.2,A,3,1,4,0.8
420,42.5,1.2,A,3,2,9,1
420,42.5,1.2,A,3,3,6,0.75
420,42.5,2.3,A,4,1,0,0
420,42.5,2.3,A,4,2,0,0
420,42.5,2.3,A,4,3,0,0
420,42.5,2.5,A,5,4,0,0
420,42.5,2.5,A,5,5,0,0
420,42.5,2.5,A,5,6,0,0
420,42.5,1.7,A,6,1,1,0.066666667
420,42.5,1.7,A,6,2,0,0
420,42.5,1.7,A,6,3,0,0
420,42.5,2.3,B,1,4,0,0
420,42.5,2.3,B,1,5,0,0
420,42.5,2.3,B,1,6,0,0
420,42.5,1.5,B,2,1,5,0.2
420,42.5,1.5,B,2,2,1,0.1
420,42.5,1.5,B,2,3,3,0.3
420,42.5,1.2,B,3,4,5,0.555555556
420,42.5,1.2,B,3,5,5,0.833333333
420,42.5,1.2,B,3,6,7,1
420,42.5,2.5,B,4,7,0,0
420,42.5,2.5,B,4,8,0,0
420,42.5,2.5,B,4,9,0,0
